"Species","Site","Tree","Fruit","Fruit_Vol_mm3","body_size_mm"
"Het1","S96","T34","F4",4593.82,2.621
"Het1","S96","T36","F8",2009.6,2.348
"Het1","S113","T4M","F11",1318.8,2.387
"Het1","S113","T4N","F26",3778.47,2.487
"Het1","S172","T2","F3",2419.9,2.74
"Het1","S172","T6","F7",1025.73,2.785
"Het1","S172","T4","F3",1966.16,2.466
"Het1","S172","T30","F8",1238.21,2.684
"Het1","S158","T6A","F5",1295.25,2.297
"Het1","S158","T29","F10",2402.1,2.667
"Het1","S70","T201","F19",828.96,2.455
"Het1","S70","T56","F1",5055.4,3.019
"Het1","S70","T58","F6",2009.6,2.532
"Het1","S70","T38","F1",2260.8,1.775
"Het1","S96","T34","F6",3684.27,2.571
"Het1","S96","T36","F3",1436.03,2.327
